rank,pri_sch_name,latitude,longitude
132,NORTH SPRING PRIMARY SCHOOL,1.38706146494859,103.903202683028
133,YUHUA PRIMARY SCHOOL,1.34280230475033,103.741105772644
134,EUNOS PRIMARY SCHOOL,1.32447629876368,103.904541254016
135,TAMPINES NORTH PRIMARY SCHOOL,1.36047641484682,103.948725782833
136,CANBERRA PRIMARY SCHOOL,1.45125024371543,103.815858858929
137,GUANGYANG PRIMARY SCHOOL,1.34569011530238,103.849453239895
138,PEIYING PRIMARY SCHOOL,1.41723339695904,103.830417090698
139,BUKIT VIEW PRIMARY SCHOOL,1.34586054788695,103.75366641455
140,TECK GHEE PRIMARY SCHOOL,1.36558782075966,103.850957126982
141,JURONG PRIMARY SCHOOL,1.34860020316068,103.733156560251
142,MONTFORT JUNIOR SCHOOL,1.37382444075979,103.889307782925
143,PARK VIEW PRIMARY SCHOOL,1.37738069854249,103.939541695654
144,BEACON PRIMARY SCHOOL,1.38394936211823,103.773632022975
145,RIVERSIDE PRIMARY SCHOOL,1.44704734253719,103.801831963297
146,PEI TONG PRIMARY SCHOOL,1.31619786415976,103.767599818844
147,NAVAL BASE PRIMARY SCHOOL,1.41630663159387,103.838794077233
148,ALEXANDRA PRIMARY SCHOOL,1.29133439161334,103.824424680531
149,OPERA ESTATE PRIMARY SCHOOL,1.31931914436255,103.923788259248
150,CANOSSA CATHOLIC PRIMARY SCHOOL,1.32664424544839,103.882227964852
151,PUNGGOL VIEW PRIMARY SCHOOL,1.40514582647962,103.905156371376
152,HUAMIN PRIMARY SCHOOL,1.42697284512936,103.844240226564
153,AHMAD IBRAHIM PRIMARY SCHOOL,1.43315271543517,103.832942401086
154,SAINT STEPHEN'S SCHOOL,1.31878997295135,103.917258129598
155,PUNGGOL GREEN PRIMARY SCHOOL,1.40187220643293,103.898801330302
156,ANCHOR GREEN PRIMARY SCHOOL,1.39036998654612,103.887165375933
157,ANG MO KIO PRIMARY SCHOOL,1.36932176584608,103.839630858752
158,QUEENSTOWN PRIMARY SCHOOL,1.29559365009015,103.807548617332
159,MERIDIAN PRIMARY SCHOOL,1.37552831658484,103.934889078518
160,GREENRIDGE PRIMARY SCHOOL,1.3858892193692,103.767794469258
161,CLEMENTI PRIMARY SCHOOL,1.31506321827875,103.763144493687
162,SPRINGDALE PRIMARY SCHOOL,1.39467010299293,103.889926221247
163,WEST SPRING PRIMARY SCHOOL,1.38944145898943,103.766195711835
164,LIANHUA PRIMARY SCHOOL,1.35424191127295,103.754165828711
165,FUCHUN PRIMARY SCHOOL,1.43047990810126,103.778192944298
166,JIEMIN PRIMARY SCHOOL,1.42768847665227,103.830425490093
167,BLANGAH RISE PRIMARY SCHOOL,1.27612047924037,103.808628535239
168,TECK WHYE PRIMARY SCHOOL,1.38364996834457,103.753291857016
169,BUKIT TIMAH PRIMARY SCHOOL,1.3372995575169,103.766828720721
