address,nearest_pri_sch,nearest_pri_sch_dist
5 TANJONG PAGAR PLAZA,ZHANGDE PRIMARY SCHOOL,2.093097867342426
271 QUEEN STREET,STAMFORD PRIMARY SCHOOL,0.46219272519640026
232 BAIN STREET,STAMFORD PRIMARY SCHOOL,0.8726372373882274
1C CANTONMENT ROAD,ZHANGDE PRIMARY SCHOOL,1.9024798886527228
111 TECK WHYE LANE,SOUTH VIEW PRIMARY SCHOOL,0.6766940033334812
114 TECK WHYE LANE,SOUTH VIEW PRIMARY SCHOOL,0.5108668572802073
460 CHOA CHU KANG AVENUE 4,CONCORD PRIMARY SCHOOL,0.32000881018483346
121 TECK WHYE LANE,SOUTH VIEW PRIMARY SCHOOL,0.4772543389487072
404 CHOA CHU KANG AVENUE 3,CONCORD PRIMARY SCHOOL,0.2603074035379575
692B CHOA CHU KANG CRESCENT,YEW TEE PRIMARY SCHOOL,0.43476865629123324
115 TECK WHYE LANE,SOUTH VIEW PRIMARY SCHOOL,0.526505032019358
422 CHOA CHU KANG AVENUE 4,CHUA CHU KANG PRIMARY SCHOOL,0.5068117755978896
680 CHOA CHU KANG CRESCENT,UNITY PRIMARY SCHOOL,0.1956604781874543
771 CHOA CHU KANG STREET 54,KRANJI PRIMARY SCHOOL,0.21248018471959676
229 CHOA CHU KANG CENTRAL,SOUTH VIEW PRIMARY SCHOOL,0.12269528021910894
237 CHOA CHU KANG CENTRAL,SOUTH VIEW PRIMARY SCHOOL,0.2530667188349474
157 JALAN TECK WHYE,TECK WHYE PRIMARY SCHOOL,0.6092494794204596
416 CHOA CHU KANG AVENUE 4,SOUTH VIEW PRIMARY SCHOOL,0.6026246872585093
414 CHOA CHU KANG AVENUE 4,CHUA CHU KANG PRIMARY SCHOOL,0.4895660411717522
239 CHOA CHU KANG CENTRAL,SOUTH VIEW PRIMARY SCHOOL,0.22357100039911224
423 CHOA CHU KANG AVENUE 4,CONCORD PRIMARY SCHOOL,0.4611853948074119
621 CHOA CHU KANG STREET 62,UNITY PRIMARY SCHOOL,0.40462277109178096
657 CHOA CHU KANG CRESCENT,YEW TEE PRIMARY SCHOOL,0.4253727308309087
418 CHOA CHU KANG AVENUE 4,CHUA CHU KANG PRIMARY SCHOOL,0.5129984274968991
608 CHOA CHU KANG STREET 62,DE LA SALLE SCHOOL,0.4457254756575344
412 CHOA CHU KANG AVENUE 3,CHUA CHU KANG PRIMARY SCHOOL,0.45206068479525696
635 CHOA CHU KANG NORTH 6,YEW TEE PRIMARY SCHOOL,0.16786437993222664
